Date : 2025-09-20 18:57:44
Directory : t:\apps\contract-ai-core
Total : 529 files,  44888 codes, 834 comments, 13479 blanks, all 59201 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\4389f961999f510ab17c54b7cf352e8a.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\44b1a05087fa5df2aefd185b306464c7.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\44bfc10183425119bf507083874e5756.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\46887bb017185e98a1c0fbc609d58a81.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\48f4b47f6dc853c8be04705dda4c3264.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\4986adbaccdf53b8b2b59669fa5f9210.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\498a0e40db6d54a6a47d666be570f271.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\4b5d1fdfb11450aaab7654927eb24d06.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\4c80ac9225d056f4b4382ef9252da8ad.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\4f373aa105575bc19f67ea9efea926b6.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\4f8a4483b2dc56f3a25523cda4634b43.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\5121352e4b375dad98f145f938a196cb.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\516786fe020d59eba1b3e7f65e727e38.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\5307f3f60d8a579bb291345dba73e732.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\552e263116f358f089943a0354bc3008.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\5646f6cd2d1d585d979a6ba89d9d434a.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\57eb626d75245ce0abd75863e5000b9e.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\5b0d97bba758591eb4d64a958be68293.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\5b3b418331ba5994a23e43d507dcee0b.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\5de97e0b07f4548d8729195fea39d41d.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\61144fd96fa95672bf5e800a986c8722.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\6182f1b146f35141ade16b62b13fac99.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\643d285979305f4eabdae10d08fe70f7.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\6554eb3664ee501dad601757f9ac50e2.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\66491d42b87858e0bb0122ddc92bcfef.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\6a83b9c4a62052f8989cd748dca0ab97.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\6b01ccdd3c4b5afa9d7622fb0be50fa1.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\6bb2b85d54dd5fceb3f642a4c84a167e.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\7139cc85a8965b8bb389aaaf31a6ed6b.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\7351e44cc3665a36805b5bf4a5d76a80.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\7c015d324e4a515287d58dfcbbab8201.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\7d5c392742665caa8a00edcae499c346.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\7fc1ca3135555cd98794717a904fe5d2.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\804f0aac770b52fb9ae86514599df0f6.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\81bd69c83e4c5232a081ec0540950c94.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\81ea6a3e1a43549ca3f9d2521afacca3.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\824962e06d9c515f8888f975653e0ea1.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\83061e641bb157ceac4a5346c1659b91.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\853c1b4d335b562da3bf244a9064f56e.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\856ab885a80d50b8908539c16aa2ad16.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\85ed9090a78a5070b06ec773ec51fe0a.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\88ef695e0ef754b29b58aa9085502093.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\8bfb98b266735a9da2cd65340376e7e4.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\8e8585cc0cc75b0486dcb4b0da116d20.json             | JSON             |         13 |          0 |          1 |         14 |
